bugtest,angle,count,time,delta,change,struggling,halfrep
NaN,339.7861104671304,0.5,14.332679033279419,increasing,False,False,False
NaN,332.5990519736081,0.5,14.40543007850647,neutral,False,False,False
NaN,310.73413945608826,0.5,14.500870943069458,neutral,False,False,False
NaN,286.13942504602437,0.5,14.563782930374146,neutral,False,False,False
NaN,260.10968994525285,0.5,14.652076005935669,decreasing,False,False,False
NaN,218.35508667917674,0.5,14.732420921325684,decreasing,False,False,False
NaN,191.19297723882462,1.0,14.79656720161438,decreasing,False,False,False
NaN,180.78427156279872,1.0,14.87822699546814,decreasing,False,False,False
1,173.266059083,1.0,14.964380025863647,decreasing,True,False,False
2,177.8308414589615,1.0,15.131869077682495,decreasing,False,False,False
3,177.58591356511675,1.0,15.197309017181396,half rep,False,False,True
3,179.82485104764078,1.0,15.26345705986023,half rep,False,False,True
NaN,183.59671348766398,1.0,15.330849170684814,neutral,False,False,False
NaN,179.8329449757044,1.0,15.400670051574707,neutral,False,False,False
NaN,177.5170729897109,1.0,15.463746070861816,neutral,False,False,False
NaN,179.31528994080043,1.0,15.529329061508179,neutral,False,False,False
NaN,181.2556878836789,1.0,15.598154067993164,neutral,False,False,False
NaN,185.6626825009127,1.0,15.663315057754517,neutral,False,False,False
NaN,187.48554800304368,1.0,15.72992491722107,neutral,False,False,False
NaN,185.27075926311664,1.0,15.796231985092163,neutral,False,False,False
NaN,197.2378716400701,1.0,15.863898038864136,neutral,False,False,False
NaN,201.78524927467583,1.0,15.929691076278687,neutral,False,False,False
NaN,231.13180467187405,1.0,15.996277093887329,neutral,False,False,False
NaN,253.39350880905536,1.0,16.063063144683838,neutral,False,False,False
NaN,283.58632567190534,1.0,16.12977385520935,neutral,False,False,False
NaN,304.2213594103583,1.0,16.19847798347473,increasing,False,False,False
NaN,320.0239977302554,1.5,16.263175010681152,increasing,False,False,False
NaN,331.11637469029034,1.5,16.330713033676147,increasing,False,False,False
NaN,356.95499944719006,1.5,16.39805293083191,increasing,False,False,False
NaN,349.340485256238,1.5,16.463151931762695,increasing,False,False,False
NaN,342.4784056047607,1.5,16.53341817855835,increasing,False,False,False
NaN,340.4830810647551,1.5,16.625284910202026,neutral,False,False,False
NaN,320.53582077939996,1.5,16.697118997573853,decreasing,False,False,False
NaN,299.62873645764944,1.5,16.763407945632935,neutral,False,False,False
NaN,269.14852890151695,1.5,16.832319021224976,neutral,False,False,False
NaN,233.5332631852924,1.5,16.899955987930298,decreasing,False,False,False
NaN,181.28150143327548,2.0,16.966140031814575,decreasing,False,False,False
NaN,162.82855067112448,2.0,17.03135108947754,decreasing,False,False,False
1,178.37199148654747,2.0,17.09758710861206,decreasing,True,False,False
2,177.12994514762457,2.0,17.1649911403656,decreasing,False,False,False
3,161.26625880046495,2.0,17.230360984802246,half rep,False,False,True
3,172.69822425383813,2.0,17.29752802848816,half rep,False,False,True
NaN,177.6777432130888,2.0,17.36294198036194,neutral,False,False,False
