bugtest,angle,count,time,delta,change,struggling,halfrep
NaN,291.7319963343131,2.5,20.695579051971436,neutral,False,False,False
NaN,285.25617350486755,2.5,20.761970043182373,decreasing,False,False,False
NaN,282.3824390917886,2.5,20.836060047149658,decreasing,False,False,False
NaN,280.4161280872147,2.5,20.89598512649536,decreasing,False,False,False
NaN,281.1323696959367,2.5,20.96192193031311,neutral,False,False,False
NaN,281.88833068567965,2.5,21.06736707687378,neutral,False,False,False
NaN,284.8535539675951,2.5,21.147289037704468,neutral,False,False,False
NaN,286.2988408204332,2.5,21.23031210899353,neutral,False,False,False
NaN,290.2872307418505,2.5,21.296077966690063,neutral,False,False,False
NaN,298.4537205401852,2.5,21.361822843551636,neutral,False,False,False
NaN,315.49645304823974,2.5,21.42852020263672,neutral,False,False,False
NaN,326.77426149159226,2.5,21.495495080947876,neutral,False,False,False
NaN,333.89362845356845,2.5,21.561704874038696,increasing,False,False,False
NaN,342.4476069782145,2.5,21.629496097564697,increasing,False,False,False
NaN,350.8428045015022,2.5,21.69506597518921,increasing,False,False,False
NaN,353.74339065944395,2.5,21.761934995651245,increasing,False,False,False
NaN,355.2217404411436,2.5,21.830159187316895,increasing,False,False,False
NaN,355.72524296183707,2.5,21.89519500732422,neutral,False,False,False
NaN,356.0502813761458,2.5,21.961698055267334,neutral,False,False,False
NaN,355.18782034342365,2.5,22.02811598777771,neutral,False,False,False
NaN,357.1568090889225,2.5,22.100338220596313,neutral,False,False,False
NaN,356.61939375327995,2.5,22.170977115631104,neutral,False,False,False
NaN,359.0726666294817,2.5,22.238402128219604,neutral,False,False,False
NaN,2.8898633270884573,3.0,22.30313205718994,neutral,False,False,False
NaN,0.054114405082961364,3.0,22.36464500427246,neutral,False,False,False
NaN,348.20502416241936,3.5,22.541012048721313,neutral,True,False,False
NaN,140.1520141308507,4.0,22.723882913589478,neutral,False,False,False
NaN,323.98861965480256,4.5,22.807136058807373,neutral,False,False,False
NaN,328.9875136993963,4.5,22.905174016952515,neutral,True,False,False
NaN,142.67472287410965,5.0,22.975266933441162,neutral,False,False,False
NaN,145.74863463047504,5.0,23.063175201416016,neutral,False,False,False
NaN,148.98728109776235,5.0,23.131603002548218,neutral,True,False,False
NaN,149.67065835725293,5.0,23.196820974349976,neutral,False,False,False
NaN,147.35689693943527,5.0,23.26457905769348,neutral,False,False,False
NaN,149.97938126474912,5.0,23.328866958618164,neutral,False,False,False
NaN,151.3233440386146,5.0,23.39637017250061,neutral,False,False,False
NaN,141.775632759125,5.0,23.463643074035645,neutral,False,False,False
NaN,144.52041260591486,5.0,23.528614044189453,neutral,False,False,False
NaN,347.2056006092348,5.5,23.595252990722656,neutral,False,False,False
NaN,348.8948366395093,5.5,23.662413120269775,neutral,False,False,False
NaN,128.6850434181031,6.0,23.728207111358643,neutral,False,False,False
NaN,349.17863761786055,6.5,23.794452905654907,neutral,False,False,False
NaN,125.9373119332009,7.0,23.861667156219482,neutral,True,False,False
NaN,138.01001747873568,7.0,23.928499221801758,neutral,False,False,False
NaN,149.06029167410387,7.0,23.994811058044434,neutral,True,False,False
NaN,151.23477137879058,7.0,24.061891078948975,neutral,False,False,False
NaN,150.59631817241512,7.0,24.13146996498108,increasing,False,False,False
NaN,152.04893731617904,7.0,24.204796075820923,neutral,False,False,False
NaN,152.73020729716708,7.0,24.27218508720398,neutral,False,False,False
NaN,152.09602021953825,7.0,24.36537790298462,neutral,False,False,False
NaN,151.4236610685658,7.0,24.431703090667725,neutral,False,False,False
NaN,151.03899902195872,7.0,24.503010988235474,neutral,False,False,False
NaN,149.92942161366534,7.0,24.571070909500122,neutral,False,False,False
NaN,149.77871621150214,7.0,24.63650107383728,neutral,False,False,False
NaN,347.5428130990138,7.5,24.695061922073364,neutral,False,False,False
NaN,348.03158427403656,7.5,24.76712393760681,neutral,False,False,False
NaN,348.26268451473277,7.5,24.83501410484314,neutral,False,False,False
NaN,348.1731823860207,7.5,24.90086603164673,neutral,False,False,False
NaN,351.36381593150895,7.5,24.96170997619629,neutral,False,False,False
NaN,348.9510943283453,7.5,25.027590036392212,neutral,False,False,False
NaN,132.44823500359553,8.0,25.096039056777954,neutral,False,False,False
NaN,144.8929384855211,8.0,25.161574125289917,neutral,False,False,False
NaN,354.41243756578984,8.5,25.228307008743286,neutral,True,False,False
NaN,140.636485014294,9.0,25.29454517364502,neutral,False,False,False
NaN,142.92930021070305,9.0,25.362203121185303,increasing,False,False,False
NaN,143.12325534420853,9.0,25.438054084777832,neutral,True,False,False
NaN,141.9161948421037,9.0,25.535233974456787,neutral,False,False,False
NaN,143.73594870665764,9.0,25.60401201248169,neutral,False,False,False
NaN,345.3438503358025,9.5,25.67784595489502,neutral,False,False,False
NaN,346.81270272698447,9.5,25.78279399871826,neutral,False,False,False
NaN,348.0383148858909,9.5,25.877742052078247,neutral,False,False,False
NaN,348.2291320963407,9.5,25.980247974395752,neutral,False,False,False
NaN,347.84208975711647,9.5,26.081651210784912,neutral,False,False,False
NaN,348.2062652988287,9.5,26.18777108192444,neutral,False,False,False
NaN,124.09739220026266,10.0,26.290226221084595,neutral,False,False,False
NaN,348.5570509079595,10.5,26.368470907211304,neutral,False,False,False
NaN,345.8044922906626,10.5,26.439496278762817,neutral,True,False,False
NaN,346.17641102649964,10.5,26.531373977661133,neutral,False,False,False
NaN,346.542145064345,10.5,26.59358310699463,neutral,False,False,False
NaN,347.0174353494269,10.5,26.66154408454895,neutral,False,False,False
NaN,346.875530865444,10.5,26.726367950439453,neutral,False,False,False
NaN,346.7761084425291,10.5,26.794636011123657,neutral,False,False,False
NaN,346.54340046484697,10.5,26.86008310317993,neutral,False,False,False
NaN,103.80965472692675,11.0,26.934672117233276,neutral,False,False,False
NaN,351.0511255527153,11.5,27.01285696029663,neutral,False,False,False
NaN,346.9590787729921,11.5,27.12777018547058,neutral,True,False,False
NaN,139.36716532896457,12.0,27.221629858016968,neutral,False,False,False
NaN,127.26609314536195,12.0,27.308650970458984,neutral,False,False,False
NaN,138.1099512659616,12.0,27.42300581932068,neutral,True,False,False
NaN,348.90518904707176,12.5,27.601232051849365,decreasing,False,False,False
NaN,140.08462191046715,13.0,27.760480880737305,neutral,False,False,False
NaN,144.69797667649829,13.0,27.86692190170288,increasing,False,False,False
NaN,139.87498652455457,13.0,27.952274799346924,neutral,True,False,False
NaN,147.03658051600354,13.0,28.166473865509033,neutral,False,False,False
NaN,147.52260289409614,13.0,28.26457905769348,neutral,False,False,False
